# ================================
# 市場分析報告系統 - Python 依賴套件
# Market Analysis Report System - Python Dependencies
# ================================

# 核心 Web 框架 Core Web Framework
fastapi==0.104.1                    # 現代、快速的 Web 框架
uvicorn[standard]==0.24.0           # ASGI 伺服器

# 資料驗證和序列化 Data Validation and Serialization  
pydantic[email]==2.5.0              # 資料驗證（包含 email 驗證）
email-validator==2.1.0              # 電子郵件驗證

# HTTP 客戶端 HTTP Client
requests==2.31.0                    # HTTP 請求庫
httpx==0.25.2                       # 異步 HTTP 客戶端（備用）

# 檔案處理 File Processing
python-multipart==0.0.6             # 多部分表單資料處理
aiofiles==23.2.1                    # 異步檔案操作

# 日期時間處理 Date and Time Handling
python-dateutil==2.8.2              # 日期解析和處理

# JSON 處理 JSON Processing  
orjson==3.9.10                      # 高效能 JSON 處理（可選）

# 設定管理 Configuration Management
python-dotenv==1.0.0                # 環境變數管理
pyyaml==6.0.1                       # YAML 配置檔案支援

# 日誌處理 Logging
loguru==0.7.2                       # 進階日誌處理（可選替代）

# 安全性 Security
cryptography==41.0.7                # 加密功能
passlib[bcrypt]==1.7.4              # 密碼雜湊（未來功能）

# 資料庫支援 Database Support（可選）
# SQLAlchemy==2.0.23                # ORM 框架
# alembic==1.12.1                   # 資料庫遷移
# asyncpg==0.29.0                   # PostgreSQL 異步驅動
# psycopg2-binary==2.9.9            # PostgreSQL 同步驅動

# 快取支援 Cache Support（可選）
# redis==5.0.1                      # Redis 客戶端
# aioredis==2.0.1                   # 異步 Redis 客戶端

# 監控和度量 Monitoring and Metrics（可選）
# prometheus-client==0.19.0         # Prometheus 度量
# psutil==5.9.6                     # 系統資源監控

# 測試框架 Testing Framework（開發用）
pytest==7.4.3                       # 測試框架
pytest-asyncio==0.21.1              # 異步測試支援
pytest-cov==4.1.0                   # 測試覆蓋率
httpx==0.25.2                       # 測試 HTTP 客戶端

# 開發工具 Development Tools
black==23.11.0                      # 程式碼格式化
isort==5.12.0                       # import 排序
flake8==6.1.0                       # 程式碼檢查
mypy==1.7.1                         # 型別檢查

# 文檔生成 Documentation
mkdocs==1.5.3                       # 文檔生成（可選）
mkdocs-material==9.4.8              # 美觀的文檔主題

# 效能分析 Performance Profiling（開發用）
